Subset_Split,Design_Point,Activation_Function,Number_Neurons,Input_DO_Rate,Hidden_DO_Rate,Initial_Weight_Dist,Data_Scale,Rho,Epsilon,Shuffle_Train_Data,Y
1,1,Rectifier,1,0.071610591,0.049719046,Uniform,PM.5,0.735845125,3.43E-10,TRUE,
1,2,Rectifier,1,0.019232317,0.017179239,Uniform,PM.5,0.723234995,2.73E-10,FALSE,
1,3,Tanh,3,0.04326823,0.112831847,Uniform,PM.5,0.750983297,3.09E-10,TRUE,
1,4,Tanh,2,0.091016357,0.005830334,Normal,PM1,0.765311227,3.91E-10,FALSE,
1,5,Rectifier,1,0.008320758,0.133043173,Uniform,PM1,0.757013746,3.86E-10,TRUE,
1,6,Tanh,1,0.121987776,0.089889653,UniformAdaptive,PM.5,0.724448362,3.64E-10,FALSE,
1,7,Rectifier,2,0.190956102,0.251376292,UniformAdaptive,PM.5,0.738092026,3.82E-10,TRUE,
1,8,Tanh,3,0.134386094,0.127235678,Normal,ZO,0.728718226,2.98E-10,TRUE,
1,9,Rectifier,1,0.209829633,0.146593417,Uniform,ZO,0.735658011,3.97E-10,FALSE,
1,10,Tanh,3,0.11964957,0.23764315,Uniform,PM.5,0.763038145,3.29E-10,FALSE,
1,11,Tanh,1,0.108868387,0.210124135,UniformAdaptive,ZO,0.737542169,2.70E-10,TRUE,
1,12,Tanh,2,0.098906505,0.189818116,Normal,PM1,0.752751476,3.49E-10,TRUE,
1,13,Rectifier,3,0.026416222,0.19879797,Normal,PM1,0.72600004,3.22E-10,TRUE,
1,14,Tanh,1,0.04571026,0.24904325,Normal,ZO,0.769233991,2.90E-10,FALSE,
1,15,Tanh,1,0.061620564,0.083317536,Normal,ZO,0.760305326,2.85E-10,FALSE,
1,16,Tanh,3,0.137972617,0.326778908,UniformAdaptive,ZO,0.802002623,3.77E-10,FALSE,
1,17,Rectifier,2,0.235369775,0.274960426,Normal,PM1,0.775104852,3.59E-10,TRUE,
1,18,Tanh,2,0.144379811,0.155760718,UniformAdaptive,ZO,0.763982601,3.75E-10,FALSE,
1,19,Rectifier,1,0.211341299,0.095379893,UniformAdaptive,ZO,0.794271306,3.32E-10,TRUE,
1,20,Rectifier,1,0.220496434,0.114664919,Uniform,PM.5,0.761685759,3.51E-10,TRUE,
1,21,Tanh,2,0.040827781,0.316036109,UniformAdaptive,PM1,0.742606733,2.19E-10,TRUE,
1,22,Rectifier,3,0.004821584,0.270421993,Normal,PM1,0.730116391,1.88E-10,TRUE,
1,23,Rectifier,3,0.129706341,0.337761488,UniformAdaptive,ZO,0.747851033,2.63E-10,FALSE,
1,24,Tanh,1,0.186751235,0.321177902,Normal,ZO,0.751464244,2.02E-10,TRUE,
1,25,Tanh,3,0.016061828,0.290039822,Uniform,ZO,0.763758809,2.08E-10,TRUE,
1,26,Tanh,1,0.057564943,0.328146621,UniformAdaptive,PM1,0.789357134,2.76E-10,FALSE,
1,27,Rectifier,3,0.114965582,0.296562774,UniformAdaptive,ZO,0.777511658,3.07E-10,FALSE,
1,28,Tanh,1,0.021410396,0.268111457,Uniform,PM.5,0.781986403,3.96E-10,FALSE,
1,29,Rectifier,2,0.005924887,0.319464341,UniformAdaptive,ZO,0.792071191,3.61E-10,FALSE,
1,30,Rectifier,2,0.124490195,0.287295187,UniformAdaptive,PM.5,0.755535016,3.99E-10,TRUE,
1,31,Tanh,1,0.153559468,0.281430304,Uniform,PM1,0.733666632,3.17E-10,FALSE,
1,32,Tanh,1,0.051031222,0.308781757,Normal,PM.5,0.728503567,3.94E-10,TRUE,
1,33,Rectifier,1,0.322207519,0.052987026,UniformAdaptive,PM1,0.815340948,3.68E-10,TRUE,
1,34,Rectifier,2,0.300180442,0.015705225,Normal,ZO,0.778793281,3.54E-10,TRUE,
